id,umkm_id,name,category,base_price,created_at,updated_at
PRD001,UMKM001,Jasa Packing Barang,Logistik,1359000,2022-07-17 18:43:51,2022-12-19 18:43:51
PRD002,UMKM001,Cuc iMobil,Servis Kendaraan,1219000,2022-08-12 18:43:51,2022-12-31 18:43:51
PRD003,UMKM002,Seminar Nasional  ,Event Organizer,556000,2022-05-21 13:09:54,2022-11-22 13:09:54
PRD004,UMKM002,Event Launching Produk,Event Organizer,632000,2022-04-17 13:09:54,2022-10-25 13:09:54
PRD005,UMKM002,Event Launching Produk,Event Organizer,641000,2022-05-16 13:09:54,2022-08-09 13:09:54
PRD006,UMKM002,Seminar Nasional,Event Organizer,829000,2022-05-20 13:09:54,2022-10-24 13:09:54
PRD007,UMKM003,Tongkat Kruk,Alat Kesehatan,27000,2023-01-04 08:21:40,2023-05-04 08:21:40
PRD008,UMKM003,Nebuilzer,Alat Kesehatan,394000,2022-12-26 08:21:40,2023-02-11 08:21:40
PRD009,UMKM003,Kalsium Tablet,Suplemen,16000,2023-01-28 08:21:40,2023-01-29 08:21:40
PRD010,UMKM003,Temulawak Kapsul,Obat Herbal,155000,2023-02-02 08:21:40,2023-03-14 08:21:40
PRD011,UMKM003,Jamu Beras Kencur,Obat Herbal,499000,2023-02-22 08:21:40,2023-06-18 08:21:40
PRD012,UMKM004,Jaket oBmber Pria,Pakaian Pria,439000,2023-11-27 01:56:29,2024-07-12 01:56:29
PRD015,UMKM006,Transkripsi Audio,Freelance,1103000,2022-04-02 08:23:03,2022-11-05 08:23:03
PRD016,UMKM006,Desain Feed Instagram,Desain,1281000,2022-03-08 08:23:03,2022-11-08 08:23:03
PRD017,UMKM007,Pijat Tradisional,Perawatan,129000,2021-04-25 21:31:04,2021-11-08 21:31:04
PRD018,UMKM007,Probiotik Sachet,Suplemen,295000,2021-04-28 21:31:04,2021-06-20 21:31:04
PRD019,UMKM007,JamuB eras Kencur,Alat Kesehatan,392000,2021-04-19 21:31:04,2021-10-25 21:31:04
PRD020,UMKM007,Fisioterapi Panggilan,Jasa Medis,67000,2021-04-15 21:31:04,2021-06-25 21:31:04
PRD021,UMKM008,Pemasangan Wallpaper,Interior,5863000,2021-05-29 19:41:24,2021-08-06 19:41:24
PRD022,UMKM008,Desain Itnerior Ruang Tamu,Interior,9435000,2021-05-16 19:41:24,2021-07-29 19:41:24
PRD023,UMKM009,Kursus Memasak,Kursus Offline,341000,2021-12-23 07:17:31,2022-10-08 07:17:31
PRD024,UMKM009,Buku Motivasi,Buku,1154000,2021-12-17 07:17:31,2021-12-17 07:17:31
PRD025,UMKM009,Buku TOEFL,Buku,851000,2022-01-07 07:17:31,2022-08-21 07:17:31
PRD026,UMKM009,Kursus Python Pemula,Kursus Online,228000,2021-12-29 07:17:31,2022-04-18 07:17:31
PRD027,UMKM010,Desain Undangan,Desain,489000,2021-09-13 22:38:20,2021-11-30 22:38:20
PRD028,UMKM010,Desain Logo,Desain,293000,2021-09-23 22:38:20,2022-05-08 22:38:20
PRD029,UMKM010,Desain Feed Instagram,Event Organizer,125000,2021-10-05 22:38:20,2021-11-19 22:38:20
PRD030,UMKM011,Pudding Coklat,Dessert,17000,2023-08-20 02:56:43,2023-10-31 02:56:43
PRD031,UMKM011,Pecel Lele,Makanan Berat,16000,2023-08-14 02:56:43,2024-02-27 02:56:43
PRD032,UMKM012,Bibit Cabai Rawit,Bibit,99000,2021-08-31 21:22:52,2022-04-08 21:22:52
PRD033,UMKM012,Mesin Pompa Air,Alat Tani,172000,2021-09-26 21:22:52,2021-12-07 21:22:52
PRD034,UMKM012,Tepung Mocaf,Produk Olahan,226000,2021-09-14 21:22:52,2021-10-28 21:22:52
PRD035,UMKM012,Sabit Intan,Alat Tani,26000,2021-10-03 21:22:52,2022-02-26 21:22:52
PRD036,UMKM013,Kursus Public Speaking,Kursus Offline,790000,2021-10-03 10:20:14,2021-10-17 10:20:14
PRD037,UMKM013,Les Piano  ,Bimbel,95000,2021-10-10 10:20:14,2022-03-14 10:20:14
PRD038,UMKM013,Kursus Editing Video,Kursus Online,1420000,2021-09-16 10:20:14,2022-06-04 10:20:14
PRD039,UMKM013,Les Privat Matematika,Bimbel,623000,2021-10-23 10:20:14,2022-05-12 10:20:14
PRD040,UMKM014,Pelatihan Sales,Pelatihan,111000,2022-11-02 17:09:54,2022-11-30 17:09:54
PRD041,UMKM014,Les Privat Matematika,Bimbel,1081000,2022-11-03 17:09:54,2023-03-06 17:09:54
PRD042,UMKM014,Bimbel Bahasa Inggris,Bimbel,241000,2022-10-21 17:09:54,2022-12-18 17:09:54
PRD044,UMKM014,Buku Bisnis Online,Buku,497000,2022-10-08 17:09:54,2022-10-15 17:09:54
PRD045,UMKM015,Sensor Suhu Gudang,IoT,343000,2023-06-28 09:45:22,2023-12-08 09:45:22
PRD046,UMKM015,Platform E-commerce Custom,Software,4127000,2023-06-01 09:45:22,2024-03-19 09:45:22
PRD047,UMKM015,Sistem Absensi Web,Software,4792000,2023-06-06 09:45:22,2024-03-12 09:45:22
PRD048,UMKM015,Instalasi CCTV,Jasa IT,3564000,2023-06-10 09:45:22,2024-02-07 09:45:22
PRD049,UMKM016,Tepung Mocaf,Produk Olahan,242000,2023-05-09 03:42:17,2023-06-16 03:42:17
PRD050,UMKM016,Cangkul Baja,Alat Tani,299000,2023-06-15 03:42:17,2023-06-15 03:42:17
PRD051,UMKM016,Bibit Semangka,Bibit,129000,2023-05-31 03:42:17,2023-10-13 03:42:17
PRD057,UMKM018,Servis Laptop,Servis,1401000,2022-03-20 03:51:19,2022-12-21 03:51:19
PRD059,UMKM018,Editing Video,Freelance,1448000,2022-02-18 03:51:19,2022-03-31 03:51:19
PRD060,UMKM019,Tas Rajut,Aksesoris Handmade,283000,2023-11-12 08:52:51,2024-02-25 08:52:51
PRD062,UMKM019,Bando Kain,Aksesoris Handmade,280000,2023-10-19 08:52:51,2024-05-07 08:52:51
PRD063,UMKM020,Es Teh Manis,Minuman,7000,2022-09-03 20:31:07,2022-10-07 20:31:07
PRD064,UMKM020,Catering Ulang Tahun,Catering,41000,2022-09-10 20:31:07,2023-04-22 20:31:07
PRD065,UMKM020,Catering Kantor Harian,Catering,27000,2022-09-23 20:31:07,2023-01-24 20:31:07
PRD066,UMKM021,Keyboard Mechanical,Hardware,1710000,2021-02-13 21:19:18,2021-03-30 21:19:18
PRD067,UMKM021,Sistem ERP Mini,Software,387000,2021-03-18 21:19:18,2021-05-17 21:19:18
PRD068,UMKM021,Platform E-commerce Custom,Software,3730000,2021-02-08 21:19:18,2021-03-09 21:19:18
PRD070,UMKM022,Jumpsuit Wanita,Pakaian Wanita,61000,2022-05-22 16:57:27,2022-08-01 16:57:27
PRD071,UMKM022,Polo Shirt Pria,Sepatu,491000,2022-07-10 16:57:27,2022-10-02 16:57:27
PRD072,UMKM022,Antin gMutiara,Aksesoris,78000,2022-06-14 16:57:27,2022-12-09 16:57:27
PRD073,UMKM023,Antar Jemput Sekolah,Jasa Antar Jemput,104000,2021-06-26 01:23:31,2021-11-06 01:23:31
PRD074,UMKM023,Pengiriman Barang Kota,Servis Kendaraan,1231000,2021-06-19 01:23:31,2021-08-23 01:23:31
PRD075,UMKM023,Paket Umroh,Travel,457000,2021-05-27 01:23:31,2021-10-12 01:23:31
PRD076,UMKM023,Ekspedisi Antar Pulau  ,Logistik,1802000,2021-05-22 01:23:31,2021-07-22 01:23:31
PRD078,UMKM024,Konsultasi Hukum,Konsultasi,736000,2021-08-04 08:41:30,2022-03-12 08:41:30
PRD079,UMKM024,Konsultasi HR,Konsultasi,1163000,2021-07-20 08:41:30,2021-08-22 08:41:30
PRD080,UMKM025,Sewa Pickup Barang,Sewa Kendaraan,1380000,2023-04-17 17:06:16,2024-02-07 17:06:16
PRD081,UMKM026,Konsultasi Keuangan,Konsultasi,273000,2024-02-01 16:07:46,2024-10-13 16:07:46
PRD082,UMKM026,Konsultasi Keuangan,Konsultasi,295000,2024-02-01 16:07:46,2024-08-04 16:07:46
PRD086,UMKM028,Selai Nanas,Produk Olahan,224000,2021-06-24 11:03:30,2021-08-23 11:03:30
PRD087,UMKM029,App Delivery Custom,Aplikasi,1940000,2021-06-08 06:48:50,2022-02-24 06:48:50
PRD088,UMKM029,Migrasi Data,Jasa IT,1197000,2021-05-31 06:48:50,2021-05-31 06:48:50
PRD089,UMKM030,Miniatur Rumah Kayu,Kerajinan Kayu,137000,2022-08-06 07:16:01,2022-08-13 07:16:01
PRD090,UMKM031,Gathering Perusahaan,Event Organizer,1550000,2023-06-01 16:05:53,2024-01-29 16:05:53
PRD091,UMKM031,Gathering Perusahaan,Event Organizer,170000,2023-05-30 16:05:53,2023-08-15 16:05:53
PRD092,UMKM031,Paket Pernikahan Sederhana,Event Organizer,231000,2023-05-05 16:05:53,2023-05-24 16:05:53
PRD093,UMKM031,Paket Pernikahan Sederhana,Event Organizer,153000,2023-06-14 16:05:53,2024-01-15 16:05:53
PRD094,UMKM032,Aplikasi Absensi,Aplikasi,1716000,2022-01-31 11:35:37,2022-06-08 11:35:37
PRD095,UMKM032,App Mobile Android,Aplikasi,4802000,2022-02-12 11:35:37,2022-07-26 11:35:37
PRD096,UMKM033,Gelang Manik Handmade,Aksesoris Handmade,254000,2023-12-24 16:39:27,2024-02-02 16:39:27
PRD097,UMKM034,Software Akuntansi  ,Software,268000,2021-05-04 03:38:53,2021-07-05 03:38:53
PRD098,UMKM034,App Pemesanan Online,Aplikasi,139000,2021-05-04 03:38:53,2021-05-31 03:38:53
PRD099,UMKM034,Website Company Profile,Software,289000,2021-05-25 03:38:53,2022-02-14 03:38:53
PRD100,UMKM035,Dress Casual,Pakaian Wanita,283000,2022-08-12 02:07:04,2023-03-06 02:07:04
PRD101,UMKM035,Kalung Emas Muda,Aksesoris,425000,2022-08-09 02:07:04,2023-04-05 02:07:04
PRD102,UMKM036,Pemasangan Keramik,Renovasi,3162000,2023-02-08 21:31:31,2023-07-18 21:31:31
PRD103,UMKM036,Kost Putri Full Fasilitas,Kost,6842000,2022-12-27 21:31:31,2023-10-07 21:31:31
PRD104,UMKM036,Sewa Gedung Event,Sewa Properti,5057000,2022-12-28 21:31:31,2023-07-05 21:31:31
PRD106,UMKM036,Kost Harian,Kost,3115000,2023-01-19 21:31:31,2023-05-24 21:31:31
PRD107,UMKM037,Workshop Fotografi,Pelatihan,1479000,2021-05-22 02:33:08,2022-01-30 02:33:08
PRD108,UMKM037,Bimbel UN SD,Bimbel,302000,2021-06-15 02:33:08,2021-09-24 02:33:08
PRD109,UMKM037,Kursus Desain Canva,Kursus Online,88000,2021-06-15 02:33:08,2022-03-22 02:33:08
PRD110,UMKM038,Kotak Perhiasan Kayu,Kerajinan Kayu,212000,2023-11-07 01:43:25,2024-03-12 01:43:25
PRD111,UMKM038,Vas Bunga Keramik,Dekorasi Rumah,111000,2023-12-02 01:43:25,2024-06-29 01:43:25
PRD112,UMKM039,Celana Chino Pria,Aksesoris,452000,2022-02-01 04:51:58,2022-02-01 04:51:58
PRD113,UMKM039,Gelang Perak,Aksesoris,358000,2022-01-15 04:51:58,2022-01-20 04:51:58
PRD114,UMKM039,Jumpsuit Wanita,Pakaian Wanita,94000,2022-02-27 04:51:58,2022-02-28 04:51:58
PRD115,UMKM039,Gamis Syari,Pakaian Wanita,398000,2022-01-28 04:51:58,2022-08-09 04:51:58
PRD116,UMKM039,Topi Baseball,Aksesoris,467000,2022-02-27 04:51:58,2022-08-04 04:51:58
PRD117,UMKM040,Pupuk Organik Cair,Pupuk,219000,2021-06-11 02:05:10,2022-03-10 02:05:10
PRD118,UMKM041,Paket Spa Relaksasi  ,Perawatan,157000,2023-02-03 19:56:29,2023-09-06 19:56:29
PRD119,UMKM042,Susu Segar,Minuman,31000,2023-07-03 08:32:41,2023-08-03 08:32:41
PRD120,UMKM042,Soto Ayam Lamongan,Makanan Berat,16000,2023-06-07 08:32:41,2023-08-19 08:32:41
PRD121,UMKM042,Risol Mayo,Dessert,14000,2023-06-24 08:32:41,2023-08-11 08:32:41
PRD122,UMKM042,Bolu Kukus,Dessert,22000,2023-06-25 08:32:41,2023-06-25 08:32:41
PRD123,UMKM043,Sistem Absensi Web  ,Software,3481000,2021-04-26 20:24:54,2022-01-18 20:24:54
PRD124,UMKM043,Setup Server,Jasa IT,2327000,2021-05-09 20:24:54,2021-11-16 20:24:54
PRD125,UMKM043,Aplikasi Absensi,Aplikasi,811000,2021-05-30 20:24:54,2021-07-13 20:24:54
PRD126,UMKM043,Setup Server,Jasa IT,1509000,2021-05-15 20:24:54,2022-01-29 20:24:54
PRD127,UMKM043,Aplikasi Kasir UMKM,Software,4139000,2021-05-24 20:24:54,2021-12-12 20:24:54
PRD128,UMKM044,Paket Umroh,Travel,368000,2021-05-05 21:26:30,2022-02-20 21:26:30
PRD129,UMKM045,Snack Box Meeting,Catering,115000,2021-05-08 08:37:27,2021-07-14 08:37:27
PRD130,UMKM046,Kursus Python Pemula,Kursus Online,739000,2021-05-05 13:45:52,2021-09-16 13:45:52
PRD131,UMKM047,Bibit Cabai Rawit,Hasil Panen,164000,2023-08-19 23:02:19,2024-03-08 23:02:19
PRD132,UMKM047,Cabai Rawit Segar,Hasil Panen,202000,2023-06-23 23:02:19,2023-12-08 23:02:19
PRD134,UMKM049,Multivitamin Anak,Suplemen,209000,2022-06-30 01:37:24,2022-10-12 01:37:24
PRD135,UMKM049,Pijat Tradisoinal,Perawatan,64000,2022-07-09 01:37:24,2023-05-05 01:37:24
PRD136,UMKM050,Pecel Lele,Makanan Berat,23000,2023-01-24 06:34:03,2023-03-20 06:34:03
