id,umkm_id,type,amount,note,occurred_at,product_name
TRX001,UMKM001,1,105000.0,Pembayaran tunai,2023-03-21 18:43:51,Jasa Packing Barang
TRX003,UMKM001,1,856000.0,,2024-04-03 18:43:51,Tune Up Mobil
TRX004,UMKM001,1,1262000.0,Transfer BRI,2023-04-13 18:43:51,Pengiriman Barang Kota
TRX005,UMKM001,0,1205000.0,,2023-06-18 18:43:51,Jasa Packing Barang
TRX006,UMKM001,1,1407000.0,Transfer BCA,2023-12-22 18:43:51,Ganti Oli Motor
TRX007,UMKM002,1,211000.0,,2023-04-27 13:09:54,Seminar Nasional
TRX009,UMKM002,1,2732000.0,Pembayaran tunai,2023-02-04 13:09:54,Event Launching Produk
TRX010,UMKM002,0,1855000.0,Transfer BNI,2022-06-22 13:09:54,Penulisan Artikel SEO
TRX011,UMKM002,1,655000.0,Dana,2023-05-10 13:09:54,Event Launching Produk
TRX012,UMKM003,0,458000.0,Tunai,2024-01-14 08:21:40,Omega 3 Kapsul
TRX013,UMKM003,1,251000.0,Dana,2023-07-24 08:21:40,Kalsium Tablet
TRX014,UMKM003,1,108000.0,Transfer BRI,2023-07-08 08:21:40,Kalsium Tablet
TRX015,UMKM003,0,40000.0,,2024-08-27 08:21:40,Vitamin C 1000mg
TRX016,UMKM004,0,316000.0,Transfer Mandiri,2025-09-20 01:56:29,Slip On Polos
TRX017,UMKM004,1,438000.0,,2024-06-12 01:56:29,Celana Panjang Pria
TRX019,UMKM004,0,266000.0,Transfer Mandiri,2025-02-09 01:56:29,Dompet Wanita
TRX020,UMKM004,1,515000.0,Gopay,2025-04-23 01:56:29,Celana Chino Pria
TRX021,UMKM004,1,384000.0,,2025-05-13 01:56:29,Kemeja Pria Casual
TRX022,UMKM004,1,395000.0,OVO,2024-01-12 01:56:29,Kemeja Pria Casual
TRX023,UMKM004,0,829000.0,Transfer BNI,2025-01-18 01:56:29,Kalung Emas Muda
TRX024,UMKM004,1,950000.0,,2023-12-03 01:56:29,Jaket Bomber Pria
TRX032,UMKM006,0,435000.0,Transfer Mandiri,2023-01-28 08:23:03,Seminar Nasional
TRX033,UMKM006,1,2026000.0,Dana,2023-07-09 08:23:03,Desain Feed Instagram
TRX035,UMKM006,0,2309000.0,Tunai,2023-06-01 08:23:03,Desain Banner
TRX036,UMKM006,1,313000.0,Gopay,2023-11-26 08:23:03,Desain Feed Instagram
TRX037,UMKM006,1,1533000.0,Transfer BCA,2023-06-15 08:23:03,Data Entry
