id,name,sector,description,created_at,updated_at,photo_url
UMKM001,Rental Panji,Transportasi,Penyedia jasa logistik last-mile delivery untuk toko online dan marketplace dengan layanan same-day delivery.,2022-07-17 18:43:51,2023-02-22 18:43:51,https://cdn.dummyumkm.id/umkm/UMKM001.jpg
UMKM002,Jasa Catur,Jasa,"Usaha event organizer yang menangani pernikahan, ulang tahun, seminar, dan acara perusahaan dari skala kecil hingga besar.",2022-04-13 13:09:54,2023-08-07 13:09:54,
UMKM003,PrioCare,Kesehatan,"Usaha katering khusus diet dan menu sehat untuk penderita diabetes, hipertensi, dan program penurunan berat badan.",2022-12-25 08:21:40,2023-04-13 08:21:40,https://cdn.dummyumkm.id/umkm/UMKM003.jpg
UMKM004,Butik Gisella,Fashion,"Butik pakaian wanita muslimah yang menyediakan gamis, hijab, dan aksesoris dengan model terkini dan bahan premium.",2023-11-21 01:56:29,2024-09-03 01:56:29,https://cdn.dummyumkm.id/umkm/UMKM004.jpg
UMKM006,Jasa Reza,Jasa,"Penyedia jasa desain grafis dan branding untuk UMKM, meliputi pembuatan logo, brosur, dan materi pemasaran digital.",2022-03-06 08:23:03,2023-02-12 08:23:03,https://cdn.dummyumkm.id/umkm/UMKM006.jpg
UMKM007,Sehat Dian,Kesehatan,"Usaha katering khusus diet dan menu sehat untuk penderita diabetes, hipertensi, dan program penurunan berat badan.",2021-04-01 21:31:04,2022-04-27 21:31:04,
UMKM008,Agen Aris,Properti,Marketplace properti lokal yang menghubungkan pemilik properti dengan calon penyewa atau pembeli secara langsung.,2021-05-11 19:41:24,2021-07-12 19:41:24,
UMKM009,Edukasi Yuni,Pendidikan,"Lembaga bimbingan belajar yang menyediakan les privat dan kelompok untuk siswa SD, SMP, dan SMA semua mata pelajaran.",2021-12-06 07:17:31,2023-04-14 07:17:31,https://cdn.dummyumkm.id/umkm/UMKM009.jpg
UMKM010,Jasa Olivia,Jasa,"Jasa kebersihan dan sanitasi untuk rumah, kantor, dan gedung komersial dengan peralatan profesional dan ramah lingkungan.",2021-09-04 22:38:20,2022-06-04 22:38:20,
UMKM011,Dapur Fatin,Kuliner,"Katering harian untuk karyawan dan pabrik, menyajikan menu 4 sehat 5 sempurna dengan standar kebersihan terjaga.",2023-07-10 02:56:43,2024-08-16 02:56:43,https://cdn.dummyumkm.id/umkm/UMKM011.jpg
